-9.968934840746495e-01  7.968192496166650e-03
-9.836681232797472e-01  1.846646831109097e-02
-9.600218649683075e-01  2.878470788332333e-02
-9.262000474292743e-01  3.879919256962704e-02
-8.825605357920527e-01  4.840267283059414e-02
-8.295657623827684e-01  5.749315621761907e-02
-7.677774321048262e-01  6.597422988218049e-02
-6.978504947933158e-01  7.375597473770512e-02
-6.205261829892429e-01  8.075589522942014e-02
-5.366241481420199e-01  8.689978720108295e-02
-4.470337695380892e-01  9.212252223778603e-02
-3.527047255308781e-01  9.636873717464420e-02
-2.546369261678899e-01  9.959342058679520e-02
-1.538699136085835e-01  1.017623897484055e-01
-5.147184255531768e-02  1.028526528935588e-01
5.147184255531768e-02  1.028526528935588e-01
1.538699136085835e-01  1.017623897484055e-01
2.546369261678899e-01  9.959342058679520e-02
3.527047255308781e-01  9.636873717464420e-02
4.470337695380892e-01  9.212252223778603e-02
5.366241481420199e-01  8.689978720108295e-02
6.205261829892429e-01  8.075589522942014e-02
6.978504947933158e-01  7.375597473770512e-02
7.677774321048262e-01  6.597422988218049e-02
8.295657623827684e-01  5.749315621761907e-02
8.825605357920527e-01  4.840267283059414e-02
9.262000474292743e-01  3.879919256962704e-02
9.600218649683075e-01  2.878470788332333e-02
9.836681232797472e-01  1.846646831109097e-02
9.968934840746495e-01  7.968192496166650e-03
